month,recurrent_complaint_types,count_SR_by_month,percentage_month,count_SR_by_month/complaint,percentage_complaint/month
1,HEAT/HOT WATER,2752099,0.08818153592483308,358399,0.13022750998419752
1,HEATING,2752099,0.08818153592483308,221757,0.08057740655405202
1,Noise - Residential,2752099,0.08818153592483308,203428,0.07391739904705463
2,HEAT/HOT WATER,2396768,0.07679617757046178,239551,0.09994751265036916
2,Noise - Residential,2396768,0.07679617757046178,192999,0.08052468991575322
2,HEATING,2396768,0.07679617757046178,128828,0.05375071763307921
3,Noise - Residential,2616190,0.08382680000653647,207489,0.07930960671816649
3,HEAT/HOT WATER,2616190,0.08382680000653647,194179,0.074222055737542
3,Street Condition,2616190,0.08382680000653647,161653,0.061789472477151886
4,Noise - Residential,2425176,0.0777064141108452,229092,0.09446407188591674
4,Illegal Parking,2425176,0.0777064141108452,133446,0.05502528476283783
4,Street Condition,2425176,0.0777064141108452,125349,0.051686558006511694
5,Noise - Residential,2675354,0.08572250666224066,303409,0.11340891710031645
5,Illegal Parking,2675354,0.08572250666224066,158198,0.05913161398454186
5,Noise - Street/Sidewalk,2675354,0.08572250666224066,122188,0.04567171297704902
6,Noise - Residential,2826118,0.09055321990408681,276568,0.09786144810655464
6,Noise - Street/Sidewalk,2826118,0.09055321990408681,170405,0.06029649151238554
6,Illegal Parking,2826118,0.09055321990408681,167212,0.0591666731537749
7,Noise - Residential,2821758,0.0904135187172355,285239,0.10108556438929206
7,Illegal Parking,2821758,0.0904135187172355,159871,0.0566565240534447
7,Water System,2821758,0.0904135187172355,153206,0.05429452135867073
8,Noise - Residential,2751402,0.08815920295987083,271543,0.09869259381217285
8,Illegal Parking,2751402,0.08815920295987083,157042,0.057077082883562634
8,Noise - Street/Sidewalk,2751402,0.08815920295987083,138859,0.05046845208370133
9,Noise - Residential,2684293,0.08600892613684244,301073,0.11216100477853945
9,Illegal Parking,2684293,0.08600892613684244,175432,0.0653550115430767
9,Noise - Street/Sidewalk,2684293,0.08600892613684244,129603,0.04828198710051399
10,Noise - Residential,2535333,0.08123601586313385,229510,0.09052459775500891
10,HEAT/HOT WATER,2535333,0.08123601586313385,152182,0.06002446226984779
10,Illegal Parking,2535333,0.08123601586313385,141633,0.05586366761289346
11,HEAT/HOT WATER,2388163,0.07652045997577017,271203,0.11356134401211308
11,Noise - Residential,2388163,0.07652045997577017,191160,0.080044787562658
11,HEATING,2388163,0.07652045997577017,138282,0.05790308282977334
12,HEAT/HOT WATER,2336279,0.07485801585223972,271179,0.11607303750964675
12,Noise - Residential,2336279,0.07485801585223972,198466,0.08494961432260445
12,HEATING,2336279,0.07485801585223972,146540,0.06272367298597471
